'      號
.9q;        旋風
.9t       方步
.9t4          凝練
.9to       凝結
.9tq     旋繞
.9vf            凝重
.9x1     凝滯
.;a       欴
.;c  方能
.;f           塱
.;j    朗
.;j   塱
.;jf   塱
.;n  剆
.;n    欴
.;na  欴
.;o         冶
.;p       郎
.;x; 遊蜂浪蝶
.a          次
.a.            於
.a.          冷
.a.   舲
.a.          次方
.a..   次於
.a.a          次次
.a/.       次等
.a//      次第
.a/x     放任自流
.a22           次年
.a4l        次要
.a7,  次男
.aa8   次貨
.aa8    次貸
.aal      為人作嫁
.aam 方便使用
.ab 冷
.ab 舲
.ab     方今
.ab 放假了
.abg           次子
.ac   為什麼
.ac      冷飲店
.ac4      為什麼要
.ac41  為什麼要這樣
.aca 為什麼會
.aca1     為什麼會這樣的呢？
.acc          次比
.acd      為什麼是
.acd1   為什麼是這樣的呢？
.acj       次序
.aco    為什麼呀
.aco            為什麼呢？
.ad  次日
.adx        次數
.af           准
.afv          永保青春
.agih 良禽擇木而棲
.agl      次按
.ahf 為人師表
.ai     艅
.aj          次月
.ak 准
.ak       艭
.ak    方位
.ak1   為今之計
.ak6          方便之門
.akf          准
.akx 艭
.al         次女
.am          冷
.amj          次骨
.an        方位角
.ani           次貸危機
.ao 冾
.ao    艙
.ao           凔
.apk         次長
.aqd     次貸風暴
.aqx            次貸風波
.ar         艙
.ar    凔
.arjb    為人民服務
.aro        艙
.aro  凔
.as        方便麵
.asf         次在
.ass  為人在世
.atx   次級
.au     方盒
.ave   永保太平
.ax     艭
.ax 方便
.b   馮
.b1      為了讓
.b1r       盤馬彎弓
.b4          為了要
.b6      為了將
.ba  為了令
.ba        為了使
.bbp         為了預防
.bg     艋
.bg         舟子
.bg         為了把
.bgu          艋
.bh    遊騎兵
.bhn        為了避免
.bl1            馮婦
.bp9       為了防止
.bu 艋
.bx6  為了減輕
.bz      憑
.c        施
.c,            艣
.c,   施力
.c,o  施加
.c.c       施施
.c.x      施放
.c.y   施為
.c1a     冷氣設備
.c2           凝
.c29            凝
.c3k           施賑
.c6m            遊戲軟體
.c7 艣
.c7         艫
.c7,        艣
.c7u   艫
.c7z    施恩
.c9            凝
.c;a      施以
.ca6 遊戲人間
.caa  為虎作倀
.cab       為虎傳翼
.cbj      施予
.cc           遊戲店
.cdx 施暴
.ce  永康街
.cea     凌氣逼人
.cej            施行
.ceq          憑虛御風
.cex        施政
.cex     施救
.cez           施惠
.cf        遊戲場
.cfx    施教
.cg          舵手
.chf         施壓
.chk   施展
.chw       放虎歸山
.ci  冷氣機
.ci       遊戲機
.cjc         施肥
.ck   永康市
.ckf 舵主
.ckf 施主
.cku  施禮
.cmf     施用
.cr    施工
.cr8 施醫
.ct    永康鄉
.cto      施給
.cu        艫
.cui          施藥
.cw8   施與
.cww         施出
.cx;     施法
.cy,         施勞
.d      凍
.d/2          冷暖自知
.d1       舺
.d1e   永昌一街
.d2e    永昌二街
.d3     艒
.d3e           永昌三街
.da/           凍傷
.dae      凍僵
.dal  凍餒
.dco     凍瘡
.de       施明德
.de    永昌街
.de   永明街
.de8           凍頂
.dec          凍死
.dek   凍裂
.df       方里
.dhf     為時不遠
.dhn    為數不多
.dht        為數不少
.di 放映機
.dia  舶來
.dj         於是乎
.dkr          方曙商工
.dktk 方曙高級商業工業職業學校
.dkur            方曙商業工業職業學校
.dl 艛
.do        艛
.dol  艛
.drd   為時已晚
.dto        凍結
.dvi      凍梨
.dxk   凍漲
.e        旌
.e.            瓬
.e.8        旌旗
.e/   方形
.e/p        旌節
.e2k    於事無補
.e44         旗正飄飄
.e5  方式
.e6      旅行車
.e6f         旋干轉坤
.e7    艚
.e7    旅行團
.e7d    艚
.e8      次微米
.e9            方正
.e9   永元路
.e9     永平路
.ea           旅行袋
.eb  放行了
.eb          航政司
.eb         遊行了
.eb          放下了
.ece      航天飛行
.ed     艚
.ee        永平街
.ee           永德街
.ee      凌雲街
.eeu       航天事業
.ef        方型
.ef  旅行者
.ef       航天城
.ef2    施政報告
.efk         旌表
.ege  航天技術
.egs    旅行指南
.eh     航政局
.ehku            凍頂烏龍茶
.ehn        放下屠刀
.ehnk        放下屠刀，立地成佛
.eie/        船到橋頭自然直
.ej         舸
.ej       瓬
.ej           方可
.ej            方術
.ej. 瓬
.ek          旅行社
.el   凄
.em   船形帽
.emb8    凌亞電子公司
.emf    冰天雪地
.en          冽
.en       冱
.enf    咨爾多士
.enn            冽
.eo  舸
.eoj           舸
.er      凄
.erf     次殖民地
.erk         永平工商
.erl          淒
.eruk   航天工業部
.eruk        永平工業商業職業學校
.es4            旅行支票
.et3       施行細則
.eu9      斗亞蘭路
.evg       航天科技
.exzk  船到江心補漏遲
.f         准
.f   堃
.f/.  准的
.f1    准考證
.f1s   准許
.f3/         為達目的，不擇手段
.f5          方域
.f6.   准將
.f7o    永吉國中
.f7ro   永吉國民中學
.f8    凌
.f8x        凌
.f9          永吉路
.f9c   准此
.f;          方塊
.fan 准例
.fax           准假
.fbj        准予
.fbj    准了
.fe            永吉街
.fh.    准尉
.fit        旗鼓相當
.fj 凊
.fko  方城之戰
.fm            方塊字
.fmp            冷靜實際
.fq      舶趠風
.fre    永達工專
.frue            永達工業專科學校
.fvo  放聲大哭
.fwx     永嘉學派
.fx            凌
.fz     方志
.g.           方寸
.g/            方才
.g1g  放手一搏
.g2k      方寸無主
.gfa           放手去做
.gk6    方寸之間
.glj 郎才女貌
.gni        次按危機
.go        方括
.go        方括號
.gqx 次按風波
.grj           方寸已亂
.h 鵃
.h0            方尺
.h00  斗而鑄錐
.h1 舟師
.h4i       盤尼西林
.h6       放不開
.h6g  放不開手
.h8.         為所欲為
.h8k      永不分離
.h9       盤面上
.h9/   永不止息
.hc    艉
.hc     冷感症
.hca         永不氣餒
.hce       凌遲處死
.he         放不下
.hez   放不下心
.hfd         良辰吉日
.hm  艑
.hmu          艑
.hp          方面
.hp      冷不防
.hu 艑
.hud    良辰美景
.hus  良師益友
.hv            艉
.hvc    艉
.hvp       方面大耳
.hx     舨
.i           槃
.i.i  槃槃
.i0      冷板凳
.i0/ 盤根錯節
.i0t      盤根錯結
.i1         資本論
.i3           資本財
.i5          方框
.i7u  方枘圓鑿
.i8v          資本公積
.i9   方整
.i9            旗楠路
.ia   舶來貨
.ib         方格子
.ib2     良機勿失
.id 凍
.ik           方根
.ikf           資本市場
.iku            資本主義
.im            資本家
.im   資本額
.io 方格
.io        舶來品
.ip    舟楫
.it            方格紙
.iz   為核心
.j       朗
.j,      膂力
.j.c     旖旎
.j.j           朗朗
.j18   朗讀
.j1f    朗誦
.j5m      冰肌玉骨
.jb           艀
.jbg           艀
.jdy  朗照
.je     方且
.jf            淨土
.jg  艀
.jg 淨手
.jj           凈
.jp         淨身
.jr    凈
.jrj     淨
.jus          良朋益友
.jx      淨水
.k        旅
.k.        艕
.k.            良方
.k.0            旅遊
.k/m    良策
.k1    良言
.k1p         凝神諦聽
.k1z       為之一怔
.k2o  良知
.k4xh           放之四海而皆准
.k6.      良將
.k7      凜
.k7           良田
.k7v    凜
.k8       艕
.k8           艩
.k8.     艕
.k81         良幣
.k8p           艩
.k9        永福路
.k91h    永福路一段
.k92h    永福路二段
.k;c           良能
.ka            良人
.ka         次文化
.ka0  旅途
.kar       良佐
.kas        良伴
.kb     放棄了
.kco     旅店
.kd     艟
.kd       良日
.kdf       艟
.kdo    良晤
.ke            永新街
.ke      永裕街
.ke       永靖街
.ke       永福街
.kej           旅行
.kf        艟
.kf           良士
.kfa8   資產增值公債
.kfax           資產增值準備
.kfp   凝神靜聽
.kh1         良師
.khk     良辰
.kho       旅居
.khv  為之所動
.ki/    良材
.ki5          良機
.kjj    良朋
.kk.      恣意妄為
.kk0          良夜
.kkf      旅社
.kkr       永靖高工
.kktr        永靖高級工業職業學校
.klg         良好
.km,           良家
.km0        良窳
.kmj  良宵
.kmo            旅客
.kn0          良久
.kna   資產負債
.knaf   資產負債表
.knn      良多
.kp         艩
.kpk    旅長
.kpt     資產階級
.kq      航
.kq    斻
.kr5      良民
.kr8     旅費
.kr8  良醫
.ksx    良友
.kt  舷
.kt      永靖鄉
.kt,           良緣
.ktm            資產總額
.ktx        良綠
.kui     良藥
.kuo           良善
.kuo 良苦
.kv    凜
.kv5     旅程
.kvf 良種
.kvm          為之動容
.kxc            良港
.kxi     良深
.kz          良心
.kze           良性
.l         姿
.l;z            姿態
.lf,      姿勢
.lh8           姿質
.ll        瓷娃娃
.ll3     姿媚
.lmo          姿容
.lnc     姿色
.lo      方始
.m         、
.m,          方家
.m.y         州官放火
.m/    航空系
.m/5w        航運管理學系
.m1   方巾
.m1e          永定一街
.m1x          冶容誨淫
.m2e      永定二街
.m3e       永定三街
.m4e         永定四街
.m5e        永定五街
.m6 航空版
.m6f   凌雲壯志
.m7          航空界
.m7           航運界
.m7.    航空母艦
.m81  永字八訣
.m8b       航空公司
.m8b            航運公司
.m8x        永字八法
.m99          永安北路
.m;vm  航空暨太空總署
.ma        方內
.maf      航空信封
.mat        航空信紙
.mb     良家子
.mc      舵
.mc 冷空氣
.me     永安街
.me      永定街
.me      永富街
.me  永寧街
.mf   凋
.mfo        凋
.mg    方字
.mha          為富不仁
.mi     方案
.mj        航運股
.mj2 憑空臆造
.mjx 憑空臆測
.mk      航空站
.mlb         良家女子
.mll        良家婦女
.mnd    旗幟鮮明
.mo     凋
.mo        航空器
.mp          航空隊
.mpd          冰雪聰明
.mruk          航空工業部
.mrv     航空工程
.mrvw    航空工程學系
.mt  永安鄉
.mva          航空郵件
.mvmr     航空太空工程學系
.mw         航空學
.mx           航空法
.mx      永定河
.n          冽
.n           舠
.n.       瓷
.n.      艬
.n8          資
.n8   粢
.n9    方外
.na       次
.na   資
.na   恣
.na    姿
.na          咨
.na. 瓷
.na0    栥
.na        瓷
.na 秶
.na         粢
.na           楶
.na       餈
.na8       資
.na8  粢
.nai            栥
.nai   楶
.nak    餈
.nal  姿
.nao        咨
.nav       秶
.naz     恣
.nff            永久地址
.nhri      永久居留權
.ni         栥
.ni       楶
.nk      餈
.nka   方外之人
.nl           姿
.nm.        冱寒
.no        咨
.no    艬
.no.          艬
.nq0      永久磁鐵
.nv       秶
.nve        姿色秀麗
.nxo         冱涸
.nz   恣
.nz        永久性
.o         船
.o.0           冶遊
.o.d        船舶
.o.o    船艙
.o.t     船舷
.o.u      船艦
.o/d       船籍
.o0          冶金
.o05 冶鐵
.o1          冲
.o1           舯
.o1.            凋謝
.o1d     咨詢
.o4t         船票
.o8x  凋敝
.o9.       船齡
.o9e         船上
.oa8   船貨
.oak   船位
.oak     艙位
.oax         船隻
.ob,   船務
.oce    船底
.oce         艙底
.ocx      船廠
.oe         永忠街
.oe5    凋殘
.oe8        船頭
.oea           船歌
.of1    冷嘲熱諷
.ofc      冶艷
.ofs       船埠
.ofy 船塢
.oh.         艙房
.ohc         船尾
.oic   船桅
.oio        船橋
.oix          船板
.ok7          舟中敵國
.okf          船主
.okx            咨文
.om, 船家
.om.          凋零
.om0           船運
.omo  船客
.omo           冶容
.omu      船體
.ono  船名
.oo8       船員
.oos        艙單
.op       船身
.op,        船隊
.opj      船期
.opk        船長
.oq         況
.or         船工
.ou3         船首
.oul           凋萎
.ouo           凋落
.ov            船夫
.oy4       冶煉
.oz        為中心
.p   郎
.p        邡
.p,   凝聚力
.p1        凘
.p6  方陣
.p8      凘
.p81    凘
.p;25   凝聚態物理
.p;2h   凝聚態物質
.pc 為甚麼
.pget          放射技術組
.pmr        郎官
.po1      郎中
.pro           郎君
.pt        放射線
.pt0v 放長線釣大魚
.pt7          郎當
.ptv  放射線科
.pw       放射學
.pz           放射性
.q 航
.q.a     航次
.q.u     航艦
.q/         放風箏
.q/o  航向
.q1        幋
.q4o          航點
.q55            航班
.q7.        航母
.q71 航界
.q9o      航路
.qe 旋風式
.qef   航至
.qej      航行
.qev  航天
.qg   搫
.qi          槃
.qi0        航速
.qie           磐桓
.qif 航權
.qk 褩
.qkto        磐石高級中學
.ql   媻
.qm0      航運
.qmr            航空
.qo         船
.qoo    航器
.qow          磐石中學
.qq 磐
.qq          冷颼颼
.qs    鞶
.qt     縏
.qtx          航線
.qu       盤
.qu0       航道
.qui   航業
.qum    淒風苦雨
.qv.    航太
.qv5   航程
.qx 般
.qx         盤
.qx           磐
.qx 幋
.qx   搫
.qx.  航海
.qx   媻
.qx  槃
.qx       縏
.qx     褩
.qx   鞶
.qx1            幋
.qxg       搫
.qxi       槃
.qxk           褩
.qxl     媻
.qxq     磐
.qxs   鞶
.qxt     縏
.qxu           盤
.r         舡
.r.r 遊覽遊覽
.r1      艦
.r1 舥
.r1 凞
.r1a  為民請命
.r1u         艦
.r1y        凞
.r6   遊覽車
.rb           放工了
.rc 舥
.rfk   為民表率
.rjb          為民服務
.rk      良
.rov      為民喉舌
.rp     施工隊
.ru        艦
.ru0            為民前鋒
.ry    凞
.s         斗
.s.    冹
.s.       斗方
.s.u          舳艫
.s/0            斗篷
.s/8 斗箕
.s/a     盤存盈餘
.s/j      斗筲
.s/k            斗笠
.s0           方丈
.s0           斗南鎮
.s1        艜
.s5           方世玉
.s6        斗門
.s6e    盤古開天
.s8  舼
.s9       永真路
.sc8            斗氣
.sdf  斗量
.sf       斗士
.sg2    盤存損失
.si     艓
.sj1    斗膽
.sjj            斗爭
.sk8      斗六
.sl          艓
.sli            艓
.sm     艜
.sm1  艜
.smd  斗宿
.smf          斗室
.son         斗嘴
.sr 凄
.sss        斗南
.su0        斗蓬
.sv   斗大
.sx 冹
.sx.           冹
.t      舷
.t. 方纔
.t7   艡
.t7m    次級團體
.t9       永光路
.te         永光街
.te            永綏街
.tj            艄
.tm          艡
.tm7            艡
.tmm       次常用字
.to 次級品
.tx      盤絲洞
.u          盤
.u,        艨
.u.0          艦艇
.u.1       艋舺
.u.9          盤旋
.u.m         冷若冰霜
.u/  艏
.u/3         艏
.u/u    盤算
.u0o  盤銘
.u1o     盤詰
.u3           艏
.u4o        盤點
.u5          艤
.u6o           盤問
.u8    艗
.u8b           航業公司
.u8o       盤谷
.u8u    艗
.u9     永華路
.u9        永業路
.u9    永羲路
.u9e            艦上
.u9o 盤踞
.ua          遊藝會
.uae 盤低
.uax      艦隻
.ubg          盤子
.uc6 盤庫
.ue 永美街
.ue         永華街
.ue           永義街
.uehu         為藝術而藝術
.uf       艤
.uf      艖
.uf,    盤勢
.uf5   艤
.ufr     艖
.ug,           盤據
.uhk       良莠不齊
.uhp 盤面
.ui9  盤整
.uie  盤查
.uie  盤桓
.uj0 盤腿
.ujx       盤膝
.uko       旗美高中
.ukr         旗美商工
.uktk    旗美高級商業工業職業學校
.ukto     旗美高級中學
.um       艨
.um           冷藏室
.um        良導體
.um,   艨
.unn         盤剝
.uo1      盤中
.up,           艦隊
.upk     艦長
.ur 艖
.ur8  盤費
.usg  盤存
.uso       盤古
.utf        盤纏
.uto      盤結
.utq  盤繞
.uu       艗
.uuo    良藥苦口
.uuoo           良藥苦口，忠言逆耳
.uuov       良藥苦口利於病
.ux   冷藏法
.uyc    艦炮
.v     族
.v.n      凜冽
.v.v       凜凜
.v0        放大鏡
.v1d          族譜
.v5       方程
.v7o 永春國中
.v7ro      永春國民中學
.v88       族類
.v9       永利路
.v9          永和路
.v9   永春路
.v9      永泰路
.v91h      永和路一段
.v92h     永和路二段
.va       族人
.va         為我們
.vb       舿
.ve           舿
.ve  方程式
.ve         永和街
.ve           永春街
.ve           永泰街
.veb   舿
.vhi    永垂不朽
.vjy  凜然
.vk     次重音
.vk  永和市
.vk2       為我之物
.vko       族裔
.vle 族姓
.vpk           族長
.vrf        族群
.vru            航太工業
.vvy      凜秋
.w           舢
.w.m    永興航空
.w.m8   永興航空公司
.w.x          舢舨
.w0  旗山鎮
.w04           為出發點
.w1n         冰山一角
.w5x           遊山玩水
.w7r      旗山農工
.w8     方輿
.w9  永興路
.w9       舟山路
.w91h       永興路一段
.w92h      永興路二段
.w9a    為山九仞，功虧一簣
.wa   凗
.waf      凗
.wb       放學了
.we      永興街
